Group, Type, String, Lev, Asch
3,INC,XRXSM,3,0.14
3,INC,VSRSM,1,2.14
3,INC,XXSVSM,1,2.11
3,INC,VSVSRM,1,3.78
3,INC,XXRVMXM,2,2.0
3,INC,VSRMSRM,3,1.36
3,INC,XSSRM,2,1.29
3,INC,VSVSM,0,4.29
3,INC,XRXXRM,3,0.33
3,INC,VSSVMM,1,2.89
3,INC,XMMMRXM,1,2.55
3,INC,VSVSVSM,1,4.0
3,INC,XMSSM,2,2.14
3,INC,VRXMM,3,0.0
3,INC,XMVRSM,2,2.44
3,INC,VMMXRM,2,2.22
3,INC,XMMSVRM,3,2.45
3,INC,VMRMSSM,4,0.45
3,INC,XVRSM,2,0.71
3,INC,VRRSM,2,0.71
3,INC,XVRSSM,2,1.22
3,INC,VRRSSM,3,1.22
3,INC,XVRRRSM,3,0.55
3,INC,VRRSSSM,3,1.45
3,INC,XSVVM,2,0.71
3,INC,VXXSM,2,0.14
3,INC,XRXSSM,3,0.44
3,INC,VMVMSM,2,0.11
3,INC,XRVSXMM,3,0.36
3,INC,VVSSXRM,3,1.45
3,INC,XSRRM,2,0.0
3,INC,VRSRM,2,0.57
3,INC,XSSRRM,3,1.0
3,INC,VSSRMM,2,2.67
3,INC,XVSRSRM,2,2.45
3,INC,VSMXSRM,3,1.73
3,INC,XRSVM,1,0.43
3,INC,VVXSM,2,0.71
3,INC,XXRVRM,1,2.44
3,INC,VSVSRM,1,3.78
3,INC,XXVRSVM,1,3.0
3,INC,VSRSSXM,2,1.82
3,INC,XSVVM,2,0.71
3,INC,VSMXM,2,2.29
3,INC,XXVVSM,2,1.44
3,INC,VVSSMM,2,1.67
3,INC,XVXXMXM,3,0.09
3,INC,VSSSXMM,2,2.18
3,INC,XSSRM,2,1.29
3,INC,VXVMM,2,0.0
3,INC,XSSSVM,1,1.67
3,INC,VRVSSM,2,0.89
3,INC,XMMMXVM,1,3.36
3,INC,VSSXVXM,2,1.82
3,INC,XXVSM,2,1.71
3,INC,VXMSM,2,0.14
3,INC,XVXRSM,2,2.0
3,INC,VMMVSM,2,1.44
3,INC,XVVXRSM,3,1.0
3,INC,VMMRSVM,2,2.82
3,INC,XVXRM,2,0.86
3,INC,VSSSM,1,3.57
3,INC,XRRSVM,1,1.0
3,INC,VSSSVM,0,3.33
3,INC,XRRXVSM,2,0.91
3,INC,VSVXRVM,1,3.0
3,INC,XVXSM,3,0.14
3,INC,VSVSM,0,4.29
3,INC,XMSVSM,2,2.78
3,INC,VSMSVM,1,1.56
3,INC,XSVSMXM,3,1.36
3,INC,VSVMXXM,3,2.0
3,INC,XXRVM,0,3.14
3,INC,VSSVM,0,3.71
3,INC,XVSVSM,1,1.89
3,INC,VSXMRM,3,1.11
3,INC,XXVSXRM,3,1.09
3,INC,VSVMRVM,1,2.64
3,INC,XMVSM,2,2.57
3,INC,VSVSM,0,4.29
3,INC,XMMVSM,2,3.44
3,INC,VSVSXM,1,3.11
3,INC,XMMSVSM,2,3.64
3,INC,VSXRSSM,3,3.09
3,INC,XSSVM,1,1.57
3,INC,VVSRM,1,2.86
3,INC,XMXVSM,1,3.44
3,INC,VSSRSM,1,3.78
3,INC,XMMSVRM,3,2.45
3,INC,VXXSRVM,2,1.18
3,INC,XVSSM,2,1.0
3,INC,VXRSM,2,2.14
3,INC,XVRVSM,2,1.22
3,INC,VSVSRM,1,3.78
3,INC,XVSMSSM,3,0.82
3,INC,VSSRVSM,1,3.91
3,INC,XVVSM,2,0.86
3,INC,VVRSM,2,1.29
3,INC,XXSRVM,1,2.0
3,INC,VVRXSM,2,0.56
3,INC,XRSSSVM,1,1.91
3,INC,VSSRVVM,2,3.18
3,INC,XSSSM,2,1.43
3,INC,VRRRM,3,0.0
3,INC,XRVRXM,3,0.11
3,INC,VXXXSM,3,0.11
3,INC,XRSXVRM,3,0.0
3,INC,VRRRSSM,3,1.27
3,INC,XXRVM,0,3.14
3,INC,VVRSM,2,1.29
3,INC,XMMXVM,1,3.67
3,INC,VVRXSM,2,0.56
3,INC,XMMXRVM,0,4.36
3,INC,VVRSSVM,2,2.73
