Group, Type, String, Lev, Asch
3,EXC,XRRMM,2,0.0
3,EXC,VRRVM,2,0.29
3,EXC,XXRVMM,1,2.44
3,EXC,VSRMMM,3,1.11
3,EXC,XXXRSMM,2,2.18
3,EXC,VMSRRVM,2,1.18
3,EXC,XRSVM,1,0.43
3,EXC,VXXRM,2,0.86
3,EXC,XRRVMM,2,0.22
3,EXC,VMXRSM,2,3.33
3,EXC,XVVRXMM,4,0.09
3,EXC,VMRXMVM,3,0.55
3,EXC,XXXSM,2,1.0
3,EXC,VMMSM,2,1.0
3,EXC,XMXXXM,2,2.67
3,EXC,VRRRSM,3,0.89
3,EXC,XMXMXMM,2,2.36
3,EXC,VSSSXMM,2,2.18
3,EXC,XMVSM,2,2.57
3,EXC,VRXMM,3,0.0
3,EXC,XSXXSM,3,0.11
3,EXC,VSRXXM,3,1.11
3,EXC,XVRVXXM,3,0.18
3,EXC,VRSMXVM,3,0.64
3,EXC,XRSXM,2,0.14
3,EXC,VMSXM,2,0.14
3,EXC,XSMRXM,2,0.0
3,EXC,VXRSXM,2,1.56
3,EXC,XRSMXRM,3,0.55
3,EXC,VSMRXVM,3,1.36
3,EXC,XXRRM,1,2.57
3,EXC,VMMSM,2,1.0
3,EXC,XVVVRM,3,0.0
3,EXC,VRRVVM,3,0.33
3,EXC,XMMRMSM,2,2.36
3,EXC,VSSSRVM,1,3.36
3,EXC,XXXSM,2,1.0
3,EXC,VRSRM,2,0.57
3,EXC,XVSVVM,2,0.89
3,EXC,VRRXXM,4,0.0
3,EXC,XVSXVSM,2,1.27
3,EXC,VXSRXSM,2,0.55
3,EXC,XVSVM,2,1.0
3,EXC,VMXXM,2,1.0
3,EXC,XVSXVM,2,0.56
3,EXC,VSXMXM,3,1.33
3,EXC,XVMXMXM,2,0.55
3,EXC,VMMXXSM,3,1.45
3,EXC,XVVRM,3,0.14
3,EXC,VXXVM,2,0.0
3,EXC,XSRRRM,3,0.0
3,EXC,VSVVMM,2,2.22
3,EXC,XXXSRRM,3,0.82
3,EXC,VXVXXRM,4,0.18
3,EXC,XXRSM,1,3.86
3,EXC,VMMXM,1,2.29
3,EXC,XRSMVM,2,0.11
3,EXC,VXRMSM,3,0.78
3,EXC,XSRMVVM,3,0.45
3,EXC,VRSSSRM,2,0.91
3,EXC,XXXSM,2,1.0
3,EXC,VVXRM,2,1.43
3,EXC,XMMSVM,2,3.11
3,EXC,VXXRRM,2,0.67
3,EXC,XVMXVRM,3,0.36
3,EXC,VMSSSXM,2,0.45
3,EXC,XXXXM,2,1.0
3,EXC,VVVVM,2,0.57
3,EXC,XXXVMM,2,0.67
3,EXC,VMMVVM,3,0.78
3,EXC,XXMMXXM,2,1.09
3,EXC,VSSVVMM,2,2.45
3,EXC,XSMMM,2,0.29
3,EXC,VRXSM,2,0.14
3,EXC,XRSSSM,2,0.67
3,EXC,VXMMSM,2,0.33
3,EXC,XXSVRSM,2,1.36
3,EXC,VXSVSRM,2,1.82
3,EXC,XRSRM,2,0.57
3,EXC,VRSSM,2,0.43
3,EXC,XSRRRM,3,0.0
3,EXC,VMMRSM,3,1.56
3,EXC,XRRRVSM,2,1.55
3,EXC,VMRSSMM,3,1.0
3,EXC,XSSSM,2,1.43
3,EXC,VXRSM,2,2.14
3,EXC,XSVRRM,3,0.78
3,EXC,VMXMMM,3,0.67
3,EXC,XVMSSSM,3,0.82
3,EXC,VSSMVVM,2,2.27
3,EXC,XXXVM,1,0.86
3,EXC,VMSXM,2,0.14
3,EXC,XMMSXM,1,2.67
3,EXC,VRXXXM,4,0.0
3,EXC,XMVVSRM,3,2.36
3,EXC,VMSSRSM,2,1.18
3,EXC,XXVVM,1,0.86
3,EXC,VVVRM,2,0.71
3,EXC,XRRRSM,3,0.89
3,EXC,VXRSMM,2,1.67
3,EXC,XMMRRSM,2,2.73
3,EXC,VXMMSSM,3,0.64
3,EXC,XRSVM,1,0.43
3,EXC,VSSRM,1,3.43
3,EXC,XMMMRM,1,3.11
3,EXC,VSVSSM,1,3.56
3,EXC,XRRSSSM,2,1.45
3,EXC,VVVMVMM,3,0.45
3,EXC,XRMXM,1,0.86
3,EXC,VMSRM,2,0.57
3,EXC,XRMVXM,2,0.0
3,EXC,VXSMRM,3,0.0
3,EXC,XRVXVSM,3,0.91
3,EXC,VSMXVRM,3,1.27
